id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description
mistral_sunrain_purp,diableavionics_mistral_sunrain,Angelos,DRA,graphics/ships/mistral_sunrain_purp.png,true,,,
mistral_tailwind_purp,diableavionics_mistral_tailwind,Angelos,DRA,graphics/ships/mistral_tailwind_purp.png,true,,,
mistral_raven_kai_purp,diableavionics_mistral_raven_kai,Angelos,DRA,graphics/ships/raven_kai/purp/diableavionics_raven.png,true,,,
mistral_typhoon_purp,diableavionics_mistral_typhoon,Angelos,DRA,graphics/ships/mistral_typhoon_purp.png,true,,,
mistral_stormsurge_purp,diableavionics_mistral_stormsurge,Angelos,DRA,graphics/ships/mistral_stormsurge_purp.png,true,,,
mistral_raindrop_purp,diableavionics_mistral_raindrop,Angelos,DRA,graphics/ships/mistral_raindrop_purp.png,true,,,
mistral_nightingale_purp,diableavionics_mistral_nightingale,Angelos,DRA,graphics/ships/nightingale/mistral_nightingale_purp.png,true,,,
mistral_sparrow_purp,diableavionics_mistral_sparrow,Angelos,DRA,graphics/ships/sparrow/mistral_sparrow_purp.png,true,,,
mistral_hummingbird_purp,diableavionics_mistral_hummingbird,Angelos,DRA,graphics/ships/hummingbird/mistral_hummingbird_purp.png,true,,,
mistral_feather_drone_purp,mistral_feather_drone,Angelos,DRA,graphics/ships/drones/mistral_feather_drone_purp.png,true,,,
mistral_beak_drone_purp,mistral_beak_drone,Angelos,DRA,graphics/ships/drones/mistral_beak_drone_purp.png,true,,,
mistral_sunrain_traitor,diableavionics_mistral_sunrain,Traitor,stripeless,graphics/ships/mistral_sunrain.png,true,,,
mistral_tailwind_traitor,diableavionics_mistral_tailwind,Traitor,stripeless,graphics/ships/mistral_tailwind.png,true,,,
mistral_typhoon_traitor,diableavionics_mistral_typhoon,Traitor,stripeless,graphics/ships/mistral_typhoon.png,true,,,
mistral_stormsurge_traitor,diableavionics_mistral_stormsurge,Traitor,stripeless,graphics/ships/mistral_stormsurge.png,true,,,
mistral_raindrop_traitor,diableavionics_mistral_raindrop,Traitor,stripeless,graphics/ships/mistral_raindrop.png,true,,,
mistral_nightingale_traitor,diableavionics_mistral_nightingale,Traitor,stripeless,graphics/ships/nightingale/mistral_nightingale.png,true,,,
mistral_sparrow_traitor,diableavionics_mistral_sparrow,Traitor,stripeless,graphics/ships/sparrow/mistral_sparrow.png,true,,,
mistral_hummingbird_traitor,diableavionics_mistral_hummingbird,Traitor,stripeless,graphics/ships/hummingbird/mistral_hummingbird.png,true,,,
diableavionics_versant_AC_purp,diableavionics_versant_AC,Angelos,DRA,graphics/DRA/ships/versant/diableavionics_versant_body.png,true,,,
diableavionics_haze_AC_purp,diableavionics_haze_AC,Angelos,DRA,graphics/DRA/ships/diableavionics_haze.png,true,,,
diableavionics_calm_AC_purp,diableavionics_calm_AC,Angelos,DRA,graphics/DRA/ships/diableavionics_calm_deck.png,true,,,
diableavionics_hayle_AC_purp,diableavionics_hayle_AC,Angelos,DRA,graphics/DRA/ships/diableavionics_hayle.png,true,,,
diableavionics_versant_AC_traitor,diableavionics_versant_AC,Traitor,stripeless,graphics/stripeless/ships/versant/diableavionics_versant_body.png,true,,,
diableavionics_haze_AC_traitor,diableavionics_haze_AC,Traitor,stripeless,graphics/stripeless/ships/diableavionics_haze.png,true,,,
diableavionics_calm_AC_traitor,diableavionics_calm_AC,Traitor,stripeless,graphics/stripeless/ships/diableavionics_calm_deck.png,true,,,
diableavionics_hayle_AC_traitor,diableavionics_hayle_AC,Traitor,stripeless,graphics/stripeless/ships/diableavionics_hayle.png,true,,,
